,player,fc
386,@masfresco,0
387,@brookiethewookie11,0
388,@timberwolves,0
389,@fearthefro95,0
390,@markellefultz,0
391,@longislandnets,0
392,@drewhanlen,0
393,@atolliver44,0
394,@50mejri,0
395,@kellyoubrejr,0
396,@kevinhart4real,0
397,@yankees,0
398,@kkorv26,0
399,@melvinjrr,0
400,@SteveNash,0
401,@1tyus,0
402,@joeharris__12,0
403,@danilogallogallinari,0
404,@jonasjerebko,0
405,@georgesniang,0
406,@brandonknight,0
407,@blakegriffin23,0
408,@dtheis10,0
409,@dmillerky,0
410,@qcook323,0
411,@juanchiviris41,0
412,@gatorsmbk,0
413,@ahmad_monk,0
414,@leahlabelle,0
415,@unitedmasters],0
416,@SacramentoKings,0
417,@jeriangrant,0
418,@waltdisneyworld,0
419,@katielou33,0
420,@officialeg10,0
421,@raptors905,0
422,@paulpierce,0
423,@enikonhart,0
424,@unitedmasters,0
425,@kknox_23,0
426,@dwyanewade,0
427,@billwalton,0
428,@eneskanter11,0
429,@supermariohezonja,0
430,@jimmybutler,0
431,@_dfavors15,0
432,@everybody_hatechriss,0
433,@e40,0
434,@coryjoseph,0
435,@megalodon20,0
436,@ipjh55,0
437,@doedoe_10,0
438,@Paulmillsap4,0
439,@samlimon_,0
440,@_wadeiv,0
441,@denzelvalentine,0
442,@maximilian,0
443,@de11edonne,0
444,@pr00fessortrill,0
445,@_bigjayy_,0
446,@fergski23,0
447,@marcgasol,0
448,@nbahistory,0
449,@StephenCurry30,0
450,@BrooklynNets,0
451,@nicholascollison,0
452,@tajgibson22,0
453,@minnesotalynx,0
454,@taureanprince,0
455,@brlive,0
456,@jusanderson1,0
457,@spurs,0
458,@alantwilliams,0
459,@rudygay,0
460,@dallasmavs,0
461,@Ninja,0
462,@malcolmbrogdon,0
463,@antonio_michail,0
464,@bostonmarathon,0
465,@moosemonroe15,0
466,@bucks,0
467,@reggiemillertnt,0
468,@iam_j3,0
469,@iso_zo,0
470,@aplayersprogram,0
471,@mb3five,0
472,@tylawson3,0
473,@mrjloyd,0
474,@jonisaac_01,0
475,@finishline,0
476,@AdidasHoops,0
477,@officialzhouqi,0
478,@planetpat5,0
479,@DallasMavs,0
480,@kristenledlow,0
481,@nbastore,0
482,@houstonrockets,0
483,@cbrickley603,0
484,@okarowhite,0
485,@sportsillustrated,0
486,@jrich_0,0
487,@espn,13129475
488,@shabazznap13r,215412
489,@wnba,650579
490,@1jordanbell,2426
491,@codyzeller,32054
492,@janellemonae,3180969
493,@jmcalderon8,98644
494,@tomasatoransky,67400
495,@BudweiserUSA,69502
496,@mooremaya,241196
497,@KnicksGaming,12566
498,@NBAALLSTAR,1351975
499,@jonlopez13,8046
500,@nenehilario_42,169711
501,@magicjohnson,1804968
502,@FIBA,831741
503,@cavs,7252955
504,@OKCBlue,45285
505,@warriors,12351878
506,@teddysphotos,29980014
507,@jayloaded0,26968
508,@demarjaysmith,256348
509,@laclippers,2193316
510,@beatsbydre,4277403
511,@Celtics,4252292
512,@Zo,6629041
513,@moritz_weasley,211158
514,@matrix31,129187
515,@gordonhayward,1511175
516,@jcollins20_,125457
517,@irie,99153
518,@austinjmills,58944
519,@olskool888,2618
520,@breannastewart30,174948
521,@35_fitz,46454
522,@nemanjabjelica8,79510
523,@carislevert,118204
524,@ivicazubac,167287
525,@Cavs,7252955
526,@d_dedmon3,51041
527,@ncrmuseum,15301
528,@KarlTowns,2445590
529,@imisiahthomas,0
530,@j3vans1,45669
531,@lindsaywhalen,42719
532,@gmb_chum12,617023
533,@NBAAcademy,87013
534,@ohsnapjbsmoove,189793
535,@sbird10,204195
536,@knicksgaming,12566
537,@BlakeGriffin23,3609719
538,@jah8,577589
539,@NBATV,5279499
540,@hunter_games31,57130
541,@tysonchandler,317042
542,@UtahJazz,825396
543,@Sixers,1986436
544,@spiceadams,1163754
545,@sixersfranklin,46909
546,@spidadmitchell,2363922
547,@famouslos32,1312802
548,@common,2974002
549,@taylorbennett,257324
550,@tharealjsimms,120950
551,@tjmcconnell,128270
552,@KendrickLamar,9519378
553,@macbo50,157446
554,@yutawatanabe12,59897
555,@chelseafc,17308871
556,@docrivers,22621
557,@Nike,89227548
558,@adbphotoinc,89211
559,@NBAHistory,3309790
560,@detroitpistons,910475
561,@cwallacelac,632
562,@mike_2reckless,4769
563,@chicagobulls,4461644
564,@k_mid22,172283
565,@gustogummi88,139259
566,@briskuno,84344
567,@sizzman3,0
568,@spurscoyote,0
569,@candaceparker,0
570,@USABasketball,0
571,@arsenal,0
572,@bportistime,0
573,@7tlc,0
574,@JanelleMonae,0
575,@24baze,0
576,@ccapela15,0
577,@gwephoto,0
578,@therealegriff,0
579,@thegarden,0
580,@_dameology,0
581,@cgray209,0
582,@youngheirgordon,0
583,@miamiheat,0
584,@jalenbrunson1,0
585,@jjwatt,0
586,@delonwright,0
587,@badbunnypr,0
588,@KingJames,0
589,@kenny,0
590,@shanelarkin_0,0
591,@HoustonRockets,0
592,@quese,0
593,@allencrabbe,0
594,@cediosman,0
595,@ud40,0
596,@chriswood_5,0
597,@ottodayporter22,0
598,@liluzivert,0
599,@3dtv,0
600,@bobimarjanovic13,0
601,@aldridge_121,0
602,@bennythebull,0
603,@dreamville,0
604,@antezizic,0
605,@andre,0
606,@kuz,0
607,@charliescott,0
608,@masonplumlee,0
609,@SAPSports,0
610,@jrue_holiday11,0
611,@ktoli20,0
612,@brian_babs_babineau,0
613,@russwest44,0
614,@andredrummondd,0
615,@oraclearena,0
616,@treydavis5,0
617,@djaugustin,0
618,@medinasyracuse,0
619,@pmccaw0,0
620,@hami,0
621,@jeffteague,0
622,@thedr34m,0
623,@budweiserusa,0
624,@tcraig3_,0
625,@SkyDigg4,0
626,@deanthony_melton,0
627,@nikstauskas11,0
628,@hoophall,0
629,@realbillrussell,0
630,@pskills43,0
631,@samdek7,0
632,@graysonjallen,0
633,@chap,0
634,@sviat_10,0
635,@nbaeurope,0
636,@hornets,0
637,@callme_nonstop,0
638,@eji_org,0
639,@dwighthoward,0
640,@klaythompson,0
641,@Nuggets,0
642,@godzgift_30,0
643,@sterlingbrown23,0
644,@pharrell,0
645,@adamsilvernba,0
646,@wendellcarterjr,0
647,@jharden13,0
648,@expressmen,0
649,@brooklynnets,0
650,@Raptors905,0
651,@unclejg8,0
652,@blakeney96,0
653,@wessywes23,0
654,@statefarm,0
655,@dougmcd03,0
656,@staplescenterla,0
657,@sergeibaka,0
658,@redclawshoops,0
659,@lakers,0
660,@djkhaled,0
661,@iamjustise,0
662,@hugh_sheridan,0
663,@fredvanvleet,0
664,@jeffhaynesmedia,0
665,@champagnepapi,0
666,@willthethrillb5,0
667,@ygtrece,0
668,@ajones,0
669,@bensimmons,0
670,@NBA,0
671,@davidluiz_4,0
672,@_tonyparker09,0
673,@IPROMISESchool,0
674,@boogiecousins,0
675,@lukekennard5,0
676,@tic_pix,0
677,@iamtinathompson,0
678,@patconnaughton,0
679,@ruuufio,0
680,@jokara95,0
681,@jarriusrobertson,0
682,@paugasol,0
683,@jabariparker,0
684,@theofficialai3,0
685,@ebled2,0
686,@NYKnicks,0
687,@chrisbosh,0
688,@memphishustle,0
689,@lonniewalkeriv,0
690,@anthonyanderson,0
691,@rsherman25,0
692,@zazapachulia,0
693,@jdg7873,0
694,@FS1,0
695,@sdinwiddie_2508,0
696,@nicbatum88,219847
697,@rolls_royce00,84755
698,@dameology,73241
699,@Bucks,1954929
700,@patbev21,267251
701,@bosnianbeast27,396521
702,@jvalanciunas,258852
703,@antdavis23,3683838
704,@capitalcitygogo,7855
705,@skal_lab,93105
706,@zo,6629042
707,@officialzobrown,27782
708,@migos,10133089
709,@boban,430634
710,@y0bull,197488
711,@dukembb,1210981
712,@jdmccrary,187053
713,@devinrob1nson,28781
714,@javalemcgee,1308219
715,@youtube,20139092
716,@markingram22,155
717,@22wiggins,1936931
718,@johnwall,4275146
719,@omarispellman,41800
720,@stickity13,466989
721,@BreannaStewart30,174948
722,@youngamechanger,400344
723,@biggametae,116610
724,@allie14quigs,6261
725,@landryshamet,80669
726,@NBAGLeague,761637
727,@the_1_dragon,328687
728,@frenchtouch20,65
729,@des_linden,142032
730,@balapat,348867
731,@kgarea21,227079
732,@stuffmagic,25399
733,@thierryhenry,2292214
734,@easymoneysniper,11174608
735,@kevinlove,2970379
736,@nike,89227565
737,@moe_harkless,87391
738,@ruffles,179566
739,@darrenrovell,38215
740,@suns,1095256
741,@thibautcourtois,5900651
742,@zmane2,2300
743,@wenyengabriel,60031
744,@gallo_locknez,15782
745,@thats_g_,139623
746,@kevin_huerter,61099
747,@Google,10179335
748,@la_sparks,86543
749,@troybrown,33
750,@nerd,302999
751,@mannypacquiao,5073965
752,@dickssportinggoods,389481
753,@stjude,306445
754,@chicagosky,66230
755,@kostas__ante13,436739
756,@irv_roland,24603
757,@iamjamiefoxx,7167899
758,@karltowns,2445592
759,@dominiquewilkins21,130887
760,@nbaonespn,3032998
761,@deandre,2118587
762,@thonmaker,169722
763,@t,0
764,@chrisdaughtry,252443
765,@jesser,562633
766,@desmith4,849656
767,@pottheiser,6182
768,@lollapalooza,392133
769,@underarmour,7517423
770,@rogerfederer,6246997
771,@sylvia_fowles,37192
772,@ManuGinobili,1117844
773,@semiojeleye37,79
774,@UnderArmour,7517423
775,@alexabrines,150950
776,@manuginobili,1117844
777,@waiters3,353816
778,@kevindurant,0
779,@memgrizz,763370
780,@mettenarrative,338077
781,@ninja,14027390
782,@wayne_elli,69169
783,@mac11,484444
784,@raptors,2882463
785,@Lakers,8513803
786,@bogdanbogdanovic,530057
787,@Gallo_Locknez,15782
788,@rudygobert27,330172
789,@fskpart3,200318
790,@afterschoolallstars,11925
791,@j_rob12,27388
792,@daanteee,158249
793,@LindsayWhalen,42719
794,@atlharrythehawk,12353
795,@all,128190
796,@nbaallstar,1351975
797,@nbaacademy,87013
798,@officialspikelee,1298964
799,@natalienakase,11956
800,@djstephens30,102948
801,@sportscenter,14244384
802,@kareemabduljabbar_33,755388
803,@therealmobamba,620742
804,@flyght5,8
805,@atlantadream,28838
806,@makeawishamerica,312924
807,@ianou76,52899
808,@mpj,683599
809,@johnhenson31,80710
810,@WNBA,650585
811,@iamamirjohnson,199900
812,@utahjazzsl,0
813,@sdot1414,667224
814,@stephensonlance,1862332
815,@jordanclarksons,0
816,@the2kferguson,0
817,@kocmj,0
818,@travisscott,0
819,@deandreayton,0
820,@indianageorge3,0
821,@DwyaneWade,0
822,@tulis3,0
823,@michael8easley,0
824,@garydwayne,0
825,@chadwickboseman,0
826,@RGVVipers,0
827,@trayfour,0
828,@gordongram,0
829,@luoldeng9,0
830,@pushat305,0
831,@americanairlinesarena,0
832,@dloading,0
833,@houseofhoops,0
834,@rajonrondo,0
835,@rekehavoc1,0
836,@washwizards,0
837,@kporzee,0
838,@kyle_lowry7,0
839,@furkankorkkmaz,0
840,@1tylerennis,0
841,@pierretpelican,0
842,@shai,0
843,@realtristan13,0
844,@Pacers,0
845,@nbasummerleague,0
846,@ishsmith5,0
847,@emmanuelmudiay,0
848,@StJude,0
